epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,6.157251960814945,27.682539682539684,3.0917666121891565,34.57142857142857,0.0003,163.70457863807678
2,3.0978725875370086,38.41269841269841,2.6625726686205184,45.42857142857143,0.00029815940691897306,163.3809678554535
3,2.568959886611454,45.06349206349206,2.196603705542428,48.42857142857143,0.0002926829491861254,162.5349531173706
4,2.2766589972329516,48.317460317460316,1.8826129014151436,53.142857142857146,0.00028370547536616097,163.0106279850006
5,2.1006100185333736,52.77777777777778,1.9953119509560722,54.57142857142857,0.00027144804065905466,162.69704842567444
6,1.9539046226228987,55.23809523809524,1.8158243206569127,57.857142857142854,0.0002562124637873889,162.69387483596802
7,1.8607576195398967,58.38095238095238,1.692871253831046,61.857142857142854,0.00023837389521772474,162.55713295936584
8,1.769950172106425,60.3968253968254,1.6144281373705183,65.14285714285714,0.00021837157971106225,162.50429606437683
9,1.7131558107194447,61.80952380952381,1.6211680964061193,64.14285714285714,0.00019669804065905466,162.65951538085938
10,1.6696251832114326,63.492063492063494,1.5990734352384295,64.85714285714286,0.00017388695252351454,162.58963251113892
