epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,3.654224523362659,25.49206349206349,1.9018769352776663,37.142857142857146,0.0003,152.85871005058289
2,1.9223450136184692,38.57142857142857,1.9206350810187203,43.285714285714285,0.00029815940691897306,157.73646426200867
3,1.7664461956326925,45.04761904761905,1.7291781766074044,45.714285714285715,0.0002926829491861254,160.7512230873108
4,1.6962911113103232,47.73015873015873,1.5489062874657766,52.57142857142857,0.00028370547536616097,162.16996908187866
5,1.6359547435669672,50.19047619047619,1.6253219073159355,55.857142857142854,0.00027144804065905466,162.44199657440186
6,1.5572568193314567,53.92063492063492,1.5058062907627652,56.142857142857146,0.0002562124637873889,162.14291620254517
7,1.4992768920414032,56.57142857142857,1.4343969072614398,60.42857142857143,0.00023837389521772474,161.59106540679932
8,1.4392859658740815,59.317460317460316,1.4305926745278494,60.857142857142854,0.00021837157971106225,162.1471004486084
9,1.397571839453682,61.80952380952381,1.425552284376962,62.42857142857143,0.00019669804065905466,161.4642951488495
10,1.3591646259171621,63.25396825396825,1.3355030604771205,65.14285714285714,0.00017388695252351454,161.86541938781738
11,1.2884336030294026,66.28571428571429,1.320194583620344,65.42857142857143,0.0001505,161.57537364959717
12,1.2369515686943418,69.19047619047619,1.243311630657741,69.28571428571429,0.0001271130474764855,161.92564272880554
13,1.2052139899844214,70.88888888888889,1.2416221863882881,71.14285714285714,0.00010430195934094536,162.3162808418274
14,1.1479489189480978,73.19047619047619,1.2047436400822231,71.42857142857143,8.262842028893775e-05,161.93843507766724
15,1.0947590620177132,75.63492063492063,1.174013431753431,72.42857142857143,6.262610478227527e-05,162.16623306274414
16,1.0617102991588532,77.68253968253968,1.174040367262704,71.71428571428571,4.478753621261114e-05,161.82557559013367
17,1.0191371576369754,80.2063492063492,1.1368615889549256,73.28571428571429,2.9551959340945366e-05,162.09127235412598
18,0.9703928410060823,82.34920634920636,1.1440832655770439,74.28571428571429,1.7294524633839014e-05,162.1742126941681
19,0.9341894194814894,83.96825396825396,1.1161471942492893,74.71428571428571,8.317050813874547e-06,162.35793232917786
20,0.9182622926954239,84.95238095238095,1.118911110673632,74.57142857142857,2.84059308102692e-06,162.1152262687683
